FID,OBJECTID,SHAPE,WC_ID,BEZIRK,STRASSE,ORTSANGABE,AKTIV,AKTIV_TXT,OEFFNUNGSZEIT,EINSCHRAENKUNGEN,PERSONALBETREUUNG,KATEGORIE,AUSSTATTUNG,ICON,ICON_TXT,KONTAKT,ABTEILUNG,INFORMATION,SE_ANNO_CAD_DATA
WCANLAGE2OGD.616607,616607,POINT (16.281806836651544 48.13560717394585),M48_0163,23,Liesinger Anger,Breitenfurter Str. - Lehmang. ggü. ONr. 3a,-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,"nein - 0,50 €",Unisex 1; barrierefrei 1,Euro Key,B,Barrierefrei,+43 (1) 546 48,MA 48,https://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/,
WCANLAGE2OGD.616608,616608,POINT (16.386362902555575 48.22281928164388),M48_0019,2,Volkertmarkt,,-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,nein - gratis,Unisex 1; barrierefrei 1; Pissoir; Damen 2; Herren 2,Euro Key,B,Barrierefrei,+43 (1) 546 48,MA 48,https://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/,
WCANLAGE2OGD.616609,616609,POINT (16.436396516406113 48.22292675957519),M48_0935,22,Große-Bucht-Straße,An der unteren alten Donau ggü. 149,-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,nein - gratis,Unisex 1; barrierefrei 1,keine,B,Barrierefrei,+43 (1) 546 48,MA 48,https://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/,
WCANLAGE2OGD.616610,616610,POINT (16.37079866872482 48.19938691889272),M48_0949,4,Resselpark,,-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,"Apr.-Okt. Mo-Mi: 12-22 Uhr Do-So, Ft.: 12-24 Uhr; Nov.-März Mo-So,Ft.: 12-21Uhr",Unisex 2; barrierefrei 1; Pissoir,"Defibrilator, Feuerlöscher, Erste Hilfe Kasten",B,Barrierefrei,+43 (1) 546 48,MA 48,https://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/,
WCANLAGE2OGD.616611,616611,POINT (16.396825631632215 48.218966579152976),M48_0933,2,Venediger Au,,-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,nein - gratis,Unisex 1; barrierefrei 1,keine,B,Barrierefrei,+43 (1) 546 48,MA 48,https://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/,
WCANLAGE2OGD.616612,616612,POINT (16.350433108207465 48.1858023539994),M48_0931,5,Einsiedlerpark,,-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,,Unisex 1; barrierefrei 1; Pissoir,Wickeltisch,B,Barrierefrei,+43 (1) 546 48,MA 48,https://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/,
WCANLAGE2OGD.616613,616613,POINT (16.34514634494827 48.21136447094729),M48_0932,8,Hamerlingpark,,-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,nein - gratis,Unisex 1; barrierefrei 1,keine,B,Barrierefrei,+43 (1) 546 48,MA 48,https://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/,
WCANLAGE2OGD.616614,616614,POINT (16.328916958094663 48.23132471265078),M48_0930,18,Gersthofer Markt,,-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,nein - gratis,Unisex 1; barrierefrei 1,keine,B,Barrierefrei,+43 (1) 546 48,MA 48,https://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/,
WCANLAGE2OGD.616615,616615,POINT (16.224823362567694 48.206724164753645),M45_MWC45,14,Wientalstraße,Grillzone,-1,JA,00:00-24:00 Uhr,Wintersperre,nein - gratis,unisex 1,,U,Damen und Herren,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616616,616616,POINT (16.462416859073333 48.177025403475014),M45_MWC37,11,Margetinstraße - Alberner Hafenzufahrtstraße,Grillzone,-1,JA,00:00-24:00 Uhr,Wintersperre,nein - gratis,unisex 1,,U,Damen und Herren,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616617,616617,POINT (16.460960548441264 48.17743893534273),M45_MWC39,11,Margetinstraße - Alberner Hafenzufahrtstraße,Grillzone,-1,JA,00:00-24:00 Uhr,Wintersperre,nein - gratis,unisex 1,,U,Damen und Herren,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616618,616618,POINT (16.45856864918443 48.178140022230394),M45_MWC41,11,Margetinstraße - Alberner Hafenzufahrtstraße,Grillzone,-1,JA,00:00-24:00 Uhr,Wintersperre,nein - gratis,unisex 1,,U,Damen und Herren,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
