FID,OBJECTID,SHAPE,BASIS_TYP_TXT,BASIS_TYP,SE_ANNO_CAD_DATA
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7e1,5983828,POINT (16.43803193030819 48.26992835918394),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7e0,5983829,POINT (16.388835930916507 48.26681570061081),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7df,5983830,POINT (16.455934595092508 48.276751593738084),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7de,5983831,POINT (16.445088079982927 48.27166098196666),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7dd,5983832,POINT (16.382567157426568 48.27757894939265),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7dc,5983833,POINT (16.398782564370507 48.252485793134724),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7db,5983834,POINT (16.347986255475107 48.231656303871446),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7da,5983835,POINT (16.359297667897305 48.21186116956079),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7d9,5983836,POINT (16.35978095476669 48.21095251363764),Zierbrunnen,6,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7d8,5983837,POINT (16.359535533739965 48.21011319550378),Zierbrunnen,6,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7d7,5983838,POINT (16.35941786838382 48.210224661541375),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7d6,5983839,POINT (16.27905174301348 48.2063709187178),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7d5,5983840,POINT (16.330653637054464 48.245927343284805),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7d4,5983841,POINT (16.31293505798207 48.18781816978742),Zierbrunnen,6,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7d3,5983842,POINT (16.497379623258052 48.22510637189053),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7d2,5983843,POINT (16.497729149655232 48.2260754816986),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7d1,5983844,POINT (16.500395282039516 48.227031807145046),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7d0,5983845,POINT (16.504727946556585 48.22702278634656),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7cf,5983846,POINT (16.506262241851292 48.22631842847631),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7ce,5983847,POINT (16.41721592970037 48.23116171871486),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7cd,5983848,POINT (16.424698889804745 48.22589792101286),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7cc,5983849,POINT (16.449859233731615 48.2317513790137),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7cb,5983850,POINT (16.4494446595626 48.23680257077867),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7ca,5983851,POINT (16.45317247466082 48.23757306093193),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7c9,5983852,POINT (16.345579802783057 48.211250393182034),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7c8,5983853,POINT (16.35121752000203 48.20747002659469),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7c7,5983854,POINT (16.33036368189428 48.22321009053155),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7c6,5983855,POINT (16.41721872602391 48.199186545698915),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7c5,5983856,POINT (16.441679242281104 48.192553303785886),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7c4,5983857,POINT (16.358339963824918 48.22639354602322),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7c3,5983858,POINT (16.358332766513556 48.22641687934897),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7c2,5983859,POINT (16.358806496352813 48.21473535863297),Zierbrunnen,6,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7c1,5983860,POINT (16.36007611230233 48.21570835888811),Zierbrunnen,6,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7c0,5983861,POINT (16.358721979692852 48.22345890705496),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7bf,5983862,POINT (16.491684669302032 48.247574605620315),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7be,5983863,POINT (16.491974377729385 48.24829673016462),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7bd,5983864,POINT (16.491547738451615 48.247490751485344),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7bc,5983865,POINT (16.35368444647866 48.2211448402545),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7bb,5983866,POINT (16.37923869430042 48.20281600432218),Zierbrunnen,6,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7ba,5983867,POINT (16.396161953991264 48.208019553578836),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7b9,5983868,POINT (16.382649770552774 48.19972079191355),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7b8,5983869,POINT (16.38751228797904 48.206053069730466),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7b7,5983870,POINT (16.39096702583371 48.19830113188354),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7b6,5983871,POINT (16.39239168255421 48.19848687330712),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7b5,5983872,POINT (16.33468966996237 48.18448111872554),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7b4,5984008,POINT (16.34249240037231 48.212233168085596),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7b3,5984009,POINT (16.402384291680903 48.225698677492566),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7b2,5984010,POINT (16.318876273002008 48.188855928363566),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7b1,5984011,POINT (16.386431894041806 48.29153438884198),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7b0,5984012,POINT (16.40143828481307 48.18245425400302),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7af,5984013,POINT (16.309014439561448 48.24089841671307),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7ae,5984014,POINT (16.316917773160267 48.188754467909796),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7ad,5984015,POINT (16.30735621453737 48.2417695164594),Grundwasserbrunnen,1,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7ac,5984016,POINT (16.35064464191193 48.18612549291061),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7ab,5984017,POINT (16.329963624654855 48.234439596051494),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7aa,5984018,POINT (16.309327345801076 48.24122502663236),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7a9,5984019,POINT (16.3917112246878 48.28950022680034),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7a8,5984020,POINT (16.39164718119968 48.289323825846076),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7a7,5984021,POINT (16.398780897933307 48.191150346987286),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7a6,5984022,POINT (16.38891770809092 48.20245002262979),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7a5,5984023,POINT (16.439047210815787 48.23174232323592),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7a4,5984024,POINT (16.332711167872095 48.18927546753499),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7a3,5984025,POINT (16.47772180278184 48.253759760158026),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7a2,5984026,POINT (16.47730426179697 48.25273949235525),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7a1,5984027,POINT (16.315415610540324 48.20414954328505),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-7a0,5984028,POINT (16.315450019523407 48.20413460453633),Zierbrunnen,6,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-79f,5984040,POINT (16.323761907509123 48.19137135616855),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-79e,5984041,POINT (16.356821569546987 48.2047787635834),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-79d,5984042,POINT (16.37845263256051 48.18125585635679),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-79c,5984043,POINT (16.35663438666608 48.19035633716612),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-79b,5984044,POINT (16.412367207876567 48.230214929234556),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-79a,5984045,POINT (16.32711445015732 48.19644326953802),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-799,5984046,POINT (16.353602728940672 48.23641521337637),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-798,5984048,POINT (16.48528574976225 48.23642906426534),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-797,5984049,POINT (16.33655630151688 48.19495038132464),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-796,5984050,POINT (16.43914247161116 48.24112202879351),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-795,5984051,POINT (16.268081834279947 48.19054369972519),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-794,5984052,POINT (16.342081380132623 48.19628872262264),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-793,5984053,POINT (16.297286759045146 48.23786525446551),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-792,5984054,POINT (16.43927632814794 48.2679200524002),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-791,5984055,POINT (16.369336937235957 48.17705644251765),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-790,5984056,POINT (16.45816908293328 48.25450997066195),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-78f,5984057,POINT (16.30985563026166 48.16848766422117),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-78e,5984058,POINT (16.451679760620287 48.28262864051012),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-78d,5984059,POINT (16.313814320350453 48.19642764331736),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-78c,5984060,POINT (16.542354206581592 48.21882626461955),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-78b,5984061,POINT (16.326904653958877 48.202327821693466),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-78a,5984062,POINT (16.28379577736973 48.22678931826494),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-789,5984063,POINT (16.44566605847743 48.2543902622162),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-788,5984064,POINT (16.40894088529225 48.19741335810533),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-787,5984065,POINT (16.387367997478506 48.22174514920685),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-786,5984066,POINT (16.334412180357468 48.228379298854286),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-785,5984067,POINT (16.41557652498769 48.20525229401084),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-784,5984068,POINT (16.336426505744384 48.216168750131324),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-783,5984069,POINT (16.27734068232229 48.19791914769563),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-782,5984070,POINT (16.43086153701222 48.27570921982222),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-781,5984071,POINT (16.31996330754328 48.20455869836605),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-780,5984072,POINT (16.36906813958304 48.17857687312677),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-77f,5984073,POINT (16.42796121763171 48.27366015261065),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-77e,5984074,POINT (16.39486691236696 48.20785460782852),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-77d,5984075,POINT (16.328938428115478 48.198550783327704),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-77c,5984076,POINT (16.341418729281397 48.15710903703595),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-77b,5984077,POINT (16.305727146712393 48.191841530393106),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-77a,5984078,POINT (16.43810185445394 48.20762132352282),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-779,5984079,POINT (16.42043863068965 48.22702525573363),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-778,5984080,POINT (16.315685005037178 48.219331799639036),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-777,5984081,POINT (16.425846023740903 48.2245360744813),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-776,5984082,POINT (16.41656140924178 48.217785327697854),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-775,5984083,POINT (16.386092043622575 48.24272463619928),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-774,5984084,POINT (16.417049926260447 48.22253834267657),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-773,5984085,POINT (16.4331307047533 48.20587932105818),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-772,5984086,POINT (16.40280921692833 48.23351498246354),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-771,5984087,POINT (16.41388781573957 48.219709609097585),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-770,5984088,POINT (16.405316599431753 48.23100035616017),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-76f,5984089,POINT (16.402929669923743 48.228062982134226),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-76e,5984090,POINT (16.351978845039742 48.19391559596617),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-76d,5984091,POINT (16.349457834477466 48.22440676558862),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-76c,5984092,POINT (16.440035252411434 48.14690516454352),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-76b,5984047,POINT (16.358400333559935 48.19307813019073),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-76a,5984093,POINT (16.343930246101728 48.270307560143515),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-769,5984094,POINT (16.32992383589771 48.19995079592816),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-768,5984095,POINT (16.31700331429774 48.20076098801337),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-767,5984096,POINT (16.350964314839555 48.19955195365257),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-766,5984097,POINT (16.38095275280798 48.30113114445698),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-765,5984098,POINT (16.331492395050162 48.18676922498912),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-764,5984099,POINT (16.365864710226486 48.22525638022611),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-763,5984100,POINT (16.381885879410824 48.213549107202525),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-762,5984101,POINT (16.49848597271178 48.25542344624498),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-761,5984102,POINT (16.383323373003844 48.150058253051014),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-760,5984103,POINT (16.336521212064635 48.20880949193304),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-75f,5984104,POINT (16.333503633456782 48.18818436787241),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-75e,5984105,POINT (16.300669995675456 48.1851197199312),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-75d,5984106,POINT (16.34855350344032 48.21492095254178),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-75c,5984107,POINT (16.316019443948313 48.21797596139859),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-75b,5984108,POINT (16.331742670826795 48.21730429111112),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-75a,5984109,POINT (16.22970620505943 48.148997302870185),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-759,5984110,POINT (16.32172595481783 48.21869967555419),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-758,5984111,POINT (16.494039831027493 48.225675458043774),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-757,5984112,POINT (16.386486352633938 48.188517011240606),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-756,5984113,POINT (16.30690978500958 48.2073745996357),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-755,5984114,POINT (16.339775015360903 48.20612468855939),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-754,5984115,POINT (16.54514238646123 48.23316690928555),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-753,5984116,POINT (16.347664892159216 48.19107921133427),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-752,5984117,POINT (16.335206249545347 48.21115698835216),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-751,5984118,POINT (16.334792320158936 48.20909452036646),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-750,5984119,POINT (16.376949262811618 48.24085284080047),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-74f,5984120,POINT (16.349565834870106 48.208018752271215),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-74e,5984121,POINT (16.400093753385786 48.185778275161816),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-74d,5984122,POINT (16.348599930972547 48.1944979395703),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-74c,5984123,POINT (16.331862768182805 48.20952608292373),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-74b,5984124,POINT (16.35246582954108 48.208157280711156),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-74a,5984125,POINT (16.36985908914741 48.210147931642055),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-749,5984126,POINT (16.362560426539023 48.225776417339375),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-748,5984127,POINT (16.42336742461407 48.22631964140007),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-747,5984128,POINT (16.422329710254868 48.22936430409896),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-746,5984129,POINT (16.281594264832187 48.24206773126912),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-745,5984130,POINT (16.27383020924435 48.24251447932823),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-744,5984131,POINT (16.418565964723165 48.2458401587454),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-743,5984132,POINT (16.470965709518204 48.257632208449465),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-742,5984133,POINT (16.462092954546637 48.25745737105262),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-741,5984134,POINT (16.500959240033396 48.25625089995253),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-740,5984135,POINT (16.44504431139484 48.26174679418468),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-73f,5984136,POINT (16.328637878600436 48.20727740438685),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-73e,5984137,POINT (16.364484550025328 48.19951203663635),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-73d,5984138,POINT (16.399169215024 48.25640877146696),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-73c,5984139,POINT (16.471021398579396 48.20863757566204),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-73b,5984140,POINT (16.327906661632667 48.21567371568954),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-73a,5984141,POINT (16.35956136307572 48.2109771901165),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-739,5984142,POINT (16.42210894911029 48.244360708717885),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-738,5983874,POINT (16.38787681069257 48.22472323961916),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-737,5983875,POINT (16.400363006176065 48.22028338549218),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-736,5983876,POINT (16.40016829193325 48.2205410773755),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-735,5983877,POINT (16.39996060788455 48.22053898143339),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-734,5983878,POINT (16.40038753732994 48.2196612706416),Hundetrinkbrunnen,2,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-733,5983879,POINT (16.416872346902295 48.21629195324533),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-732,5983880,POINT (16.386071851830266 48.217187110135576),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-731,5983881,POINT (16.378177868152 48.21426917056689),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-730,5983882,POINT (16.384594917951205 48.217958423916656),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-72f,5983883,POINT (16.399558990171894 48.21273701196818),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-72e,5983884,POINT (16.39455910213988 48.21640214109911),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-72d,5983885,POINT (16.40655773240623 48.20391675271002),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-72c,5983886,POINT (16.3330402348762 48.15006368289003),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-72b,5983887,POINT (16.317270251870063 48.14865968836345),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-72a,5983888,POINT (16.309024629903288 48.14809430422873),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-729,5983889,POINT (16.313300217406468 48.14886907812594),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-728,5983890,POINT (16.313129434551975 48.14805354654672),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-727,5983891,POINT (16.312559274158467 48.13044653176181),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-726,5983892,POINT (16.313854387993857 48.13091028628648),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-725,5983893,POINT (16.35301974637515 48.14773249040799),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-724,5983894,POINT (16.27476059031103 48.13755696760539),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-723,5983895,POINT (16.303781036498485 48.14942302928912),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-722,5983896,POINT (16.267235979120038 48.14925170491337),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_-721,5983897,POINT (16.26988196879837 48.151276476900215),Trinkbrunnen,4,
