FID,OBJECTID,SHAPE,BASIS_TYP_TXT,BASIS_TYP,SE_ANNO_CAD_DATA
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_90,5983310,POINT (16.421666829748116 48.28014563813615),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_91,5983311,POINT (16.415173738361712 48.291439979604235),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_92,5983312,POINT (16.443764651466104 48.27464270452212),Grundwasserbrunnen,1,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_93,5983313,POINT (16.4753181452232 48.214164723520106),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_94,5983314,POINT (16.482127668387175 48.21736311858766),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_95,5983315,POINT (16.484541667749063 48.22126932386032),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_96,5983316,POINT (16.300810887067012 48.16725012115347),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_97,5983317,POINT (16.33915625506665 48.18128178892665),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_98,5983318,POINT (16.339567888905087 48.181480548241176),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_99,5983319,POINT (16.338653794227895 48.17872135845054),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_9a,5983320,POINT (16.319385335917463 48.15877312046359),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_9b,5983321,POINT (16.331228638382647 48.17361205980892),Zierbrunnen,6,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_9c,5983322,POINT (16.35651914137458 48.19411426334656),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_9d,5983323,POINT (16.47699474926703 48.218838157622635),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_9e,5983324,POINT (16.341396154674396 48.25340362801153),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_9f,5983325,POINT (16.275924984809755 48.17374188117622),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--1d380552_198b1b651c6_a0,5983326,POINT (16.272753219975655 48.164507913676005),Trinkbrunnen,4,
